switch_type	dbd_seq_changed	nondbd_seq_changed	protein_seq_changed	summarised_switch	dbdminus_isoform_function	general_functional_consequence	consequence_comment
-/-	FALSE	FALSE	FALSE	 | 	NA	Change in UTRs	Protein sequence did not change but isoforms are different
-/-	FALSE	FALSE	TRUE	?Protein / Lipid-binding (1) | ?Protein / Lipid-binding (1)	Unclear | Unclear	Change outside of domains	Protein sequence changed but domains did not
-/-	FALSE	FALSE	TRUE	Oligomerization (1) | Oligomerization (1)	Reverse regulator | Reverse regulator	Change outside of domains	Protein sequence changed but domains did not
-/-	FALSE	FALSE	TRUE	Transcription repression (1) | Transcription repression (1)	Activator | Activator	Change outside of domains	Protein sequence changed but domains did not
-/-	FALSE	TRUE	TRUE	Transcription repression (1) | 	Activator	Activator / Domainless protein	Inference from Fig. 2C
-/-	FALSE	TRUE	TRUE	Transcription repression 1 | Transcription repression 2	Activator | Activator	Change in transcription activation	Inference from Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (1) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (1); Dimerization (1) | Dimerization (1)	Reverse regulator	Reverse regulation	Fig. 2B
+/-	TRUE	FALSE	TRUE	Canonical DBD (1); Ligand binding (1) | Ligand binding (1)	Ligand sequestering factor	TF / Ligand sequestering factor 	Inference from the present domains
+/-	TRUE	FALSE	TRUE	Canonical DBD (10); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (11) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (12) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (13); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (14); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (15); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (17); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (2) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (2); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (29) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (3) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (30) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (37); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (5); Oligomerization (1) | Oligomerization (1)	Reverse regulator	Reverse regulation	Fig. 2B (in our predictions, we consider an oligomerization domain in the same way as a dimerization domain)
+/-	TRUE	FALSE	TRUE	Canonical DBD (6) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (7) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (7); Oligomerization (1) | Oligomerization (1)	Reverse regulator	Reverse regulation	Fig. 2B (in our predictions, we consider an oligomerization domain in the same way as a dimerization domain)
+/-	TRUE	FALSE	TRUE	Canonical DBD (7); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (8) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (8); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Canonical DBD (9) | 	NA	TF / Domainless protein	Isoform with a DBD may be a TF but we cannot predict the function of a domainless isoform
+/-	TRUE	FALSE	TRUE	Canonical DBD (9); Transcription repression (1) | Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Transcription repression (1) | Canonical DBD (12); Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
+/-	TRUE	FALSE	TRUE	Transcription repression (1) | Canonical DBD (19); Transcription repression (1)	Activator	Reverse regulation	Fig. 2C
